,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
0,Pevek,100,RU,1569891129,94,69.7,170.27,272.85,3.79
1,Port Alfred,66,ZA,1569891131,81,-33.59,26.89,288.15,2.68
2,Rikitea,100,PF,1569891132,78,-23.12,-134.97,293.64,6.39
3,Guerrero Negro,0,MX,1569891133,74,27.97,-114.04,292.93,10.15
4,Le Vauclin,0,MQ,1569891135,88,14.55,-60.84,299.15,1.0
5,Gat,53,SN,1569891136,88,14.69,-16.54,300.15,4.6
6,Bambous Virieux,79,MU,1569891139,84,-20.34,57.76,295.37,2.24
7,Provideniya,90,RU,1569891140,87,64.42,-173.23,280.15,3.0
8,Aklavik,75,CA,1569891142,62,68.22,-135.01,285.15,3.1
9,Busselton,57,AU,1569891143,57,-33.64,115.35,290.37,3.21
10,Kapaa,75,US,1569890912,66,22.08,-159.32,304.15,7.7
11,Bethel,75,US,1569891146,71,60.79,-161.76,283.15,3.6
12,Bertoua,85,CM,1569891147,98,4.58,13.68,292.21,0.85
13,Oktyabrskiy,75,RU,1569891149,87,55.61,37.97,287.15,4.0
14,Yuci,0,CN,1569891150,68,37.68,112.73,292.15,1.0
15,Kaitangata,28,NZ,1569891152,55,-46.28,169.85,282.59,3.58
16,Mataura,32,NZ,1569891153,72,-46.19,168.86,282.04,3.13
17,Ponta do Sol,2,BR,1569891154,56,-20.63,-46.0,293.76,2.03
18,Souillac,90,FR,1569891156,93,45.6,-0.6,289.26,1.0
19,Westport,90,US,1569891116,63,41.14,-73.36,291.48,4.1
20,Khatanga,8,RU,1569891158,90,71.98,102.47,266.78,1.26
21,Ushuaia,90,AR,1569890863,86,-54.81,-68.31,274.15,7.2
22,Sola,70,TZ,1569891161,68,-3.17,33.8,295.16,2.41
23,Touros,20,BR,1569891162,83,-5.2,-35.46,297.15,3.1
24,Katsuura,75,JP,1569891163,78,33.93,134.5,301.48,1.5
25,Hermanus,0,ZA,1569891165,94,-34.42,19.24,285.93,2.11
26,Omboue,68,GA,1569891166,83,-1.57,9.26,297.58,6.15
27,Saint-Augustin,75,CA,1569891167,70,45.63,-73.98,285.37,1.5
28,Faya,0,SA,1569891169,42,18.39,42.45,292.15,0.74
29,Saint George,0,GR,1569891170,68,39.45,22.34,291.15,1.5
30,Bathsheba,40,BB,1569891171,78,13.22,-59.52,301.15,5.1
31,Komsomolskiy,100,RU,1569891172,95,67.55,63.78,272.39,4.56
32,Porto Recanati,1,IT,1569891174,72,43.44,13.66,293.71,2.1
33,Butaritari,57,KI,1569891175,63,3.07,172.79,302.49,3.52
34,Shingu,75,JP,1569891177,74,33.72,135.99,300.15,1.5
35,Saskylakh,92,RU,1569891178,93,71.97,114.09,268.23,3.3
36,Ribeira Grande,97,PT,1569891179,72,38.52,-28.7,294.6,4.29
37,Hobyo,16,SO,1569891181,91,5.35,48.53,297.03,4.55
38,Siniscola,0,IT,1569891182,88,40.57,9.69,293.15,4.6
39,Port Elizabeth,90,US,1569891183,68,39.31,-74.98,293.15,2.1
40,Saint-Philippe,75,CA,1569891185,76,45.36,-73.48,285.93,2.1
41,Punta Arenas,75,CL,1569891186,69,-53.16,-70.91,275.15,7.2
42,Hithadhoo,58,MV,1569891187,77,-0.6,73.08,301.2,7.44
43,Yangjiang,0,CN,1569891189,68,21.85,111.96,297.73,1.17
44,Albany,90,US,1569891190,63,42.65,-73.75,290.37,4.6
45,Vila do Maio,4,CV,1569891192,83,15.13,-23.22,297.42,2.52
46,Tuktoyaktuk,75,CA,1569891193,76,69.44,-133.03,282.15,5.7
47,Sinjar,0,SY,1569891194,78,35.59,37.0,290.57,1.46
48,San Quintin,100,PH,1569891195,83,17.54,120.52,298.81,1.55
49,Antalaha,93,MG,1569891197,99,-14.9,50.28,293.13,0.88
50,Arraial do Cabo,60,BR,1569891198,81,-22.97,-42.02,293.21,8.57
51,Bluff,10,AU,1569891199,27,-23.58,149.07,300.27,6.11
52,Hobart,20,AU,1569891064,47,-42.88,147.33,287.59,3.1
53,Mar del Plata,81,AR,1569891202,36,-46.43,-67.52,279.42,2.84
54,Bozhou,10,CN,1569891203,73,33.86,115.78,294.14,3.56
55,Severo-Kurilsk,33,RU,1569891205,78,50.68,156.12,280.48,7.11
56,Cape Town,20,ZA,1569890882,82,-33.93,18.42,288.15,4.6
57,Fukue,20,JP,1569891208,83,35.03,136.69,303.15,2.6
58,Pitimbu,20,BR,1569891209,78,-7.47,-34.81,298.15,3.1
59,Hirara,75,JP,1569891211,83,24.8,125.28,302.15,12.3
60,Torbay,90,CA,1569891153,93,47.66,-52.73,280.37,10.3
61,Lagoa,0,PT,1569891213,77,37.14,-8.45,291.48,2.1
62,Barrow,97,AR,1569891215,55,-38.31,-60.23,284.07,1.79
63,Pangai,40,TO,1569891216,83,-19.8,-174.35,300.15,5.1
64,Sutysky,75,UA,1569891217,78,49.05,28.42,284.82,1.79
65,Pisco,90,PE,1569891218,88,-13.71,-76.2,290.37,7.2
66,Luderitz,0,NA,1569891220,52,-26.65,15.16,291.15,5.1
67,Vila Franca do Campo,20,PT,1569891221,82,37.72,-25.43,294.82,1.5
68,Poum,0,MK,1569891223,87,41.28,20.71,283.15,0.59
69,Vaini,75,IN,1569891224,93,15.34,74.49,292.15,0.73
70,Hounde,95,BF,1569891226,80,11.5,-3.52,298.0,4.06
71,Castro,40,CL,1569891227,93,-42.48,-73.76,276.15,2.1
72,Feijo,90,EC,1569891228,83,-3.63,-79.92,305.15,2.6
73,Emba,0,CY,1569891230,63,34.81,32.42,295.15,3.1
74,Radhanpur,100,IN,1569891231,88,23.83,71.61,297.43,2.52
75,Nishihara,40,JP,1569891232,69,35.74,139.53,301.48,1.5
76,Rauma,98,FI,1569891234,93,61.13,21.5,283.15,3.1
77,Lompoc,1,US,1569891088,39,34.64,-120.46,291.48,6.2
78,Pingliang,84,CN,1569891236,82,35.54,106.68,286.01,2.92
79,Jamestown,0,AU,1569891237,34,-33.21,138.6,293.89,6.34
80,Progreso,75,UY,1569891239,87,-34.68,-56.22,292.04,3.1
81,Oussouye,0,SN,1569891240,94,12.49,-16.54,300.15,2.34
82,Playas,42,EC,1569891241,88,-2.64,-80.39,294.54,6.93
83,Alofi,75,NU,1569891243,74,-19.06,-169.92,301.15,5.7
84,Luwuk,90,ID,1569891244,91,-0.95,122.79,292.63,2.01
85,Yarkovo,0,RU,1569891246,74,54.81,82.6,275.15,2.0
86,Leningradskiy,99,RU,1569891247,63,69.38,178.42,276.1,2.11
87,Faanui,31,PF,1569891248,78,-16.48,-151.75,298.7,8.27
88,Isabela,100,PH,1569891250,75,10.2,122.99,300.55,0.44
89,Thompson,90,CA,1569891179,51,55.74,-97.86,276.15,3.1
90,Puerto Ayora,20,EC,1569891252,69,-0.74,-90.35,296.15,7.7
91,Santa Clara,75,CU,1569890476,94,22.41,-79.97,298.15,2.1
92,Yerbogachen,79,RU,1569891255,91,61.28,108.01,271.44,2.56
93,Carnarvon,22,ZA,1569891256,66,-30.97,22.13,280.57,5.04
94,Chihuahua,90,MX,1569891009,78,28.66,-106.08,296.15,2.1
95,Wangqing,1,CN,1569891258,72,43.31,129.76,289.73,1.34
96,Tessalit,0,ML,1569891260,11,20.2,1.01,304.9,5.56
97,Coquimbo,0,CL,1569891081,76,-29.95,-71.34,286.15,3.1
98,Gigmoto,100,PH,1569891262,72,13.78,124.39,301.94,2.87
99,Constitucion,90,MX,1569891264,60,23.99,-104.67,293.71,3.6
100,Yumen,65,CN,1569891265,48,40.29,97.04,286.69,2.62
101,Bundaberg,90,AU,1569891266,68,-24.87,152.35,298.15,8.7
102,Neiafu,75,TO,1569891268,78,-18.65,-173.98,300.15,4.1
103,Zhezkazgan,0,KZ,1569891269,47,47.8,67.71,275.44,4.06
104,South Lake Tahoe,1,US,1569891164,25,38.93,-119.98,286.48,3.6
105,Kaeo,53,NZ,1569891272,64,-35.1,173.78,287.58,6.71
106,Nome,1,US,1569891273,74,30.04,-94.42,301.48,2.1
107,Laguna,75,BZ,1569891275,79,16.17,-88.94,302.15,1.35
108,Leh,4,IN,1569891276,61,34.16,77.58,274.11,2.92
109,Atambua,0,ID,1569891277,73,-9.11,124.89,298.08,2.35
110,Grand Gaube,56,MU,1569891279,84,-20.01,57.66,295.93,2.24
111,Norman Wells,75,CA,1569891280,44,65.28,-126.83,287.15,1.13
112,Stony Plain,90,CA,1569891281,69,53.53,-114.0,276.48,4.1
113,Nemuro,75,JP,1569891283,93,43.32,145.57,290.15,1.5
114,Vilhena,77,BR,1569891284,66,-12.74,-60.15,298.54,1.75
115,Grindavik,0,IS,1569891286,93,63.84,-22.43,278.15,3.1
116,Yellowknife,75,CA,1569890908,65,62.45,-114.38,280.15,7.2
117,Labuhan,100,ID,1569891288,63,-2.54,115.51,299.81,0.32
118,Kavaratti,52,IN,1569891289,74,10.57,72.64,299.8,1.4
119,Padang,100,ID,1569891291,86,-0.92,100.36,298.77,5.28
120,Jalu,0,LY,1569891292,70,29.03,21.55,295.39,4.54
121,Atuona,15,PF,1569891293,75,-9.8,-139.03,299.65,7.04
122,Hailar,41,CN,1569891295,67,49.2,119.7,287.75,3.67
123,Salamanca,90,MX,1569891296,68,20.57,-101.19,294.15,2.24
124,Tadine,89,NC,1569891297,78,-21.55,167.88,295.5,7.08
125,Westlock,90,CA,1569891299,69,54.15,-113.85,276.48,4.1
126,Hambantota,20,LK,1569891300,100,6.12,81.12,296.15,2.1
127,Caravelas,37,BR,1569891302,86,-17.73,-39.27,295.77,4.46
128,North Platte,0,US,1569891303,77,41.12,-100.77,289.26,3.13
